"Persona","Operational Question","KPI / Answer","Definition / What it is","Calculation / Logic","How to Break it Down (Slices)"
"Ops Manager","How much actual work does my team need to do today?","Workable Inventory","The total number of claims actively requiring a human touch.","NPNR (after 3rd ITTT prediction expires) + Total Actual Denials","By Age (DAR), By Payer, By Dollar Balance Tier"
"Ops Manager","Which claims are being completely ignored by the payers?","Total NPNR","Claims that have aged past the expected payment window (> 37 days) with zero response.","COUNT(claims) WHERE Last_Bill_Date > 37 days AND Last_Payment_Date IS NULL","By Payer, By Provider, By Procedure Code"
"Ops Manager","Which claims were actively rejected and need an appeal?","Total Denials","The actual count of claims denied by the payer requiring rework.","COUNT(Actual Denials)","By Denial CARC/RARC Code, By Payer, By Root Cause"
"Ops Manager","What is the true dollar value of the work sitting on my team's desk?","A/R Backlog","The total monetary sum tied to the Workable Inventory.","SUM(Total_Balance) WHERE claim is in Workable Inventory","By Dollar Band (e.g. <$500, $500-$5k, >$5k)"
"Ops Manager","Which claims should my team NOT touch because they are safely processing?","Pending Payer (In Transit)","Claims that are billed but still within the safe AI-predicted payment window.","COUNT(claims) WHERE Current_Date < 3rd ITTT Estimated Payment Date","By Expected Arrival Date (This Week vs Next Week)"
"Ops Manager","How much did my team successfully close out this month?","Resolved/Paid MTD","Total volume of claims that transitioned to a $0 balance this month.","COUNT(claims) WHERE Balance = 0 AND Payment_Date > Start_Of_Month","By Resolved via Appeal vs Paid Automatically"
"Ops Manager","Are we falling behind and risking write-offs?","Days in A/R (DAR)","The average age of our unpaid claims.","AVG(Current_Date - Last_Bill_Date) WHERE claim is not Paid/Closed","0-30, 31-60, 61-90, 90-120, 120+ Buckets"
"Ops Manager","When my team works a denial, are they actually winning the appeal?","Denial Overturn Rate","The percentage of reworked denials that resulted in a successful payment.","(Successfully Paid Appeals / Total Touched Denials) * 100","By Denial Code, By Representative/Agent"
"Ops Senior Leader","Can I trust the AI when it says a claim will be paid?","% Payment Accuracy","Percentage of accurate payment predictions","(Total actual full payments MTD / Total Payment Predictions MTD) * 100","By Month, By Payer"
"Ops Senior Leader","Can I trust the AI to catch denials before they age?","% Denial Accuracy","Percentage of accurate denial predictions","(Total actual denials MTD / Total Denial Predictions MTD) * 100","By Month, By Payer"
"Ops Senior Leader","How much cash does the AI forecast we will receive soon?","Total Predicted Value","Sum of dollar value for all claims the AI has predicted 'Payment' for.","SUM(Expected_Payment_Amount) WHERE PredictionLabel = 'Payment' AND Actual is pending","By Forecast Settlement Month"
"Ops Senior Leader","How much financial risk is trapped in our current bottlenecks?","Total A/R Impact","The total dollar scale of our Denials and NPNR combined.","SUM(Denial Balance) + SUM(NPNR Balance)","Denial Risk vs NPNR Risk"
"Ops Senior Leader","What is the ultimate financial result the AI is driving?","Cash Collected MTD","Total actual cash received this month.","SUM(Payment_Amounts) WHERE Payment_Date > Start_Of_Month","By Payer"
"Ops Senior Leader","Is the AI overconfident or pessimistic about our revenue?","Prediction Bias","Measures overconfidence in predictions","Payment Prediction Rate / Actual Payment Rate","N/A"
"Ops Senior Leader","Is the AI actually saving us manual labor?","Touchless Automation Rate","Percentage of claims paid without human touch","(Claims Paid with 0 manual touches / Total Claims Resolved) * 100","Trend Over Time"
"Ops Senior Leader","Is the AI reducing our operational expenses?","Cost to Collect","Total Operations Team Cost / Total Cash Collected MTD","Trend Over Time"
